,0
0,-5188.597581997747
1,-1238.0279179569334
2,-919.8135976658668
3,-663.140625
4,12654.75
5,-1241.3781367070042
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,-1138.7930805117358
22,-6670.593743999954
23,5472.468767999904
24,-29634.18753599981
25,9938.906256000046
26,5566.5
27,10303.687535999808
28,-4736.62502399995
29,-4036.7812320000958
30,-1232.635218767915
31,-5950.107554665767
32,-13448.517584000016
33,4475.28125
34,-11182.236334000016
35,-10403.890625
36,2043.1230409999844
37,-16677.56441199989
38,222.7909979999531
39,24082.818377000047
40,9747.359375
41,8511.222620999906
42,12374.126959000016
43,3700.791045000078
44,-665.9863340000156
45,-2052.9453360000625
46,4791.154290999984
47,-806.5273319999687
48,1077.2363340000156
49,16591.459002000047
50,1807.6640389999375
51,11710.986334000016
52,-1599.8359610000625
53,395.1855880001094
54,-8427.962920000078
55,-535.8183299999218
56,-481.29104500007816
57,3448.900420000078
58,5521.03125
59,3254.75
60,8428.054663999937
61,-2062.4003729994874
