,0
0,-128.20641225599684
1,5460.0
2,-82.59374399995431
3,-604.7812320000958
4,3341.25
5,2026.12497600005
6,-1530.2812320000958
7,1474.12497600005
8,4091.5312799999956
9,1942.9687200000044
10,7687.6874880001415
11,261.09379199985415
12,7948.406208000146
13,-2624.156208000146
14,8054.343743999954
15,-5390.343743999954
16,3427.12497600005
17,1599.8437439999543
18,-4101.5625119998585
19,1368.0
20,2772.9375359998085
21,3900.0
22,1100.62497600005
23,443.0625120000914
24,422.90625599981286
25,294.18748800014146
26,-4868.156256000046
27,-1906.9687200000044
28,839.4374879999086
29,-1450.9687679999042
30,-6633.187487999909
31,8979.843743999954
32,-4805.718767999904
33,3460.3125119998585
34,7704.0
35,-3103.2187200000044
36,1526.9062080001459
37,1093.87502399995
38,12284.718767999904
39,4990.5
40,15920.156208000146
41,-1956.4687200002372
42,2806.124976000283
43,-5251.6874880001415
44,-1907.0625119998585
45,3387.375023999717
46,5648.624976000283
47,2729.7187679999042
48,5701.031232000096
49,3870.1875359998085
50,-3684.9375359998085
51,6867.843743999954
52,6742.031279999763
53,-1797.5625119998585
54,-1348.7812320000958
55,2670.6562560000457
56,-1354.9687679999042
57,-376.78123200009577
58,1348.3124640001915
59,3034.031279999763
60,-5677.87502399995
61,5029.87502399995
