,0
0,1060022.9807714159
1,1065284.7358248178
2,1065284.7358248178
3,1065284.7358248178
4,1065284.7358248178
5,1065284.7358248178
6,1065284.7358248178
7,1065284.7358248178
8,1065284.7358248178
9,1065284.7358248178
10,1065284.7358248178
11,1065284.7358248178
12,1065284.7358248178
13,1065284.7358248178
14,1065284.7358248178
15,1065284.7358248178
16,1065284.7358248178
17,1065284.7358248178
18,1065284.7358248178
19,1065284.7358248178
20,1065284.7358248178
21,1065284.7358248178
22,1065284.7358248178
23,1065284.7358248178
24,1065284.7358248178
25,1065284.7358248178
26,1065284.7358248178
27,1065284.7358248178
28,1065284.7358248178
29,1065284.7358248178
30,1065284.7358248178
31,1065284.7358248178
32,1065284.7358248178
33,1065284.7358248178
34,1065284.7358248178
35,1065284.7358248178
36,1065284.7358248178
37,1065284.7358248178
38,1065284.7358248178
39,1065284.7358248178
40,1065284.7358248178
41,1065284.7358248178
42,1065284.7358248178
43,1065284.7358248178
44,1065284.7358248178
45,1065284.7358248178
46,1065284.7358248178
47,1065284.7358248178
48,1065284.7358248178
49,1065284.7358248178
50,1065284.7358248178
51,1065284.7358248178
52,1065284.7358248178
53,1065284.7358248178
54,1065284.7358248178
55,1065284.7358248178
56,1065284.7358248178
57,1065284.7358248178
58,1065284.7358248178
59,1065284.7358248178
60,1065284.7358248178
61,1065284.7358248178
62,1065284.7358248178
