,0
0,1202762.4979268112
1,1216563.845570811
2,1232249.204945811
3,1239259.6502338112
4,1228518.314320811
5,1239515.9432148112
6,1244147.4002338112
7,1246349.9119648112
8,1249070.9432148112
9,1252961.4666768112
10,1246356.8025898112
11,1246044.1404988111
12,1245366.4666768112
13,1255051.335786811
14,1263487.1834308112
15,1269022.7479268112
16,1265298.2693928112
17,1258230.976411811
18,1261390.1833432703
19,1260553.71492717
20,1260553.71492717
21,1260553.71492717
22,1261246.4293933483
23,1267456.2223253483
24,1266200.4057277043
25,1266200.4057277043
26,1266200.4057277043
27,1266200.4057277043
28,1266200.4057277043
29,1266200.4057277043
30,1266200.4057277043
31,1266200.4057277043
32,1266200.4057277043
33,1268054.6108345075
34,1263708.8275885074
35,1262447.8812076664
36,1262447.8812076664
37,1262447.8812076664
38,1261887.6859456666
39,1264794.1234816664
40,1263540.1441066423
41,1263540.1441066423
42,1263540.1441066423
43,1263540.1441066423
44,1263540.1441066423
45,1263540.1441066423
46,1263540.1441066423
47,1263540.1441066423
48,1263540.1441066423
49,1263540.1441066423
50,1263540.1441066423
51,1263540.1441066423
52,1263540.1441066423
53,1263540.1441066423
54,1263540.1441066423
55,1263540.1441066423
56,1263540.1441066423
57,1263540.1441066423
58,1263540.1441066423
59,1263540.1441066423
60,1263540.1441066423
61,1263540.1441066423
62,1263540.1441066423
