,0
0,1249207.591007755
1,1262225.6730037548
2,1247468.591007755
3,1256021.214048755
4,1263102.2413807549
5,1278138.4777147549
6,1276764.6456717548
7,1287924.3917537548
8,1286851.8370897549
9,1287975.1554197548
10,1275958.1183397549
11,1278657.8644217548
12,1276799.4366697548
13,1275540.3959881319
14,1272943.4640408389
15,1280112.432790839
16,1286347.4601228386
17,1285442.251167839
18,1290857.9913728386
19,1284256.419124839
20,1298409.4777068389
21,1303802.7277068389
22,1305237.2374548388
23,1305233.932790839
24,1313799.2237888388
25,1314101.8780798388
26,1314583.6280798388
27,1314583.6280798388
28,1318912.309749839
29,1318835.751167839
30,1329313.4464568389
31,1330785.9601228386
32,1325982.5050388388
33,1320674.809749839
34,1318099.173042839
35,1323237.6867088394
36,1332207.7101228386
37,1334802.532417839
38,1336791.5870818389
39,1331499.8644138388
40,1318886.423042839
41,1305715.682790839
42,1312623.214040839
43,1313939.673042839
44,1329791.432790839
45,1324834.7687048388
46,1323524.4601228386
47,1324914.7237888388
48,1335289.9737888388
49,1335446.4874548388
50,1340170.4464568389
51,1341640.1144138388
52,1340329.714040839
53,1346800.751167839
54,1350472.809749839
55,1355005.464040839
56,1353309.700374839
57,1358288.9464568389
58,1359410.7960838396
59,1350804.1964568389
60,1354390.2413728386
61,1369917.2237888388
62,1358922.9874548388
