,0
0,-1064.568377000047
1,3605.322295000078
2,10710.40037299972
3,11465.613293000497
4,1275.1503729997203
5,-1105.8769590000156
6,-5441.71875
7,146.69141799979843
8,-3232.2597479997203
9,831.9550840004813
10,8332.585913999239
11,-3723.28125
12,-6062.54099799972
13,2419.03125
14,1358.3183299999218
15,-1096.5136659999844
16,-15686.25
17,-13199.931622999953
18,-4625.277331999969
19,-36061.668004000094
20,14653.626959000016
21,-1055.1132459999062
22,17442.599579999922
23,-4265.25
24,-18377.0
25,18023.123040999984
26,-37623.04099799995
27,4698.623040999984
28,14411.099627000047
29,11739.626959000016
30,-8147.431670000078
31,11293.677752000047
32,2326.958954999922
33,-29296.972620999906
34,12686.695288999937
35,-5683.6952889999375
36,12135.363245999906
37,15329.068377000047
38,1928.3769590000156
39,-13407.209002000047
40,11160.205084000016
41,17515.945336000063
42,3257.5957090000156
43,1788.2949159999844
44,3474.2363340000156
45,10697.640625
46,2134.2773319999687
47,1742.3046639999375
48,-6706.863245999906
49,1597.0819959999062
50,1705.1269589997828
51,-2457.677704999689
52,-7506.78125
53,701.2362869998906
54,-6684.373040999984
55,7658.246129000094
56,-3740.81445899955
57,-3330.8496270005126
58,4539.2636659997515
59,-16158.177704999689
60,-23237.736334000016
61,5753.736334000016
