,0
0,1042298.3619123467
1,1041083.3072103468
2,1030986.0963163467
3,1033016.0963163467
4,1031824.1509603468
5,1041384.8619123467
6,1052232.5611383468
7,1053285.2838163467
8,1051605.0963163467
9,1057793.6509603467
10,1060661.1392343468
11,1063135.9947103467
12,1056538.4947103467
13,1057769.8619123467
14,1056232.2954843468
15,1056990.9400663467
16,1059962.3072103467
17,1047736.4283403467
18,1044423.5181623467
19,1051239.6509603467
20,1043105.1509603468
21,1037325.4283403467
22,1037873.5963163467
23,1042508.9517343467
24,1040495.1509603468
25,1053396.6392343468
26,1040797.2720903467
27,1041341.3619123467
28,1030600.9400663467
29,1040773.5963163467
30,1030291.2291143466
31,1030096.2720903467
32,1024805.5845903467
33,1028606.8501863466
34,1028142.2838163467
35,1040503.3072103468
36,1048939.9283403466
37,1047593.1275663467
38,1050199.1626863466
39,1045209.9166143466
40,1045353.2173883468
41,1048188.8736383468
42,1046361.8736383468
43,1052931.5064363466
44,1053972.5611383468
45,1057845.3072103467
46,1056693.3501863466
47,1049742.0728643467
48,1042036.2291143466
49,1038691.9400663467
50,1036682.2173883468
51,1042072.1392343467
52,1038711.6509603468
53,1046234.7720903467
54,1047676.7291143466
55,1044840.5064363466
56,1058194.4400663467
57,1022795.8619123467
58,1007686.2954843467
59,1023316.1626863466
60,1039843.7838163467
61,1053491.7954843468
62,1054615.7720903466
