,0
0,4614.904290999984
1,12036.681670000078
2,4308.486334000016
3,5771.636706999969
4,-280.62304099998437
5,-4047.140625
6,7320.25
7,6653.8046639999375
8,7658.154290999984
9,15803.75
10,-14187.849579999922
11,8043.517584000016
12,-1051.8086290000938
13,8646.072295000078
14,-9821.990252000047
15,2431.791045000078
16,20440.226538999937
17,-713.9042909999844
18,3018.3730409999844
19,8247.490252000047
20,8091.068329999922
21,-997.28125
22,-10376.259747999953
23,-2970.3632930000313
24,-2501.3730409999844
25,17514.568377000047
26,5522.958954999922
27,-4882.308581999969
28,20861.390625
29,379.3047110000625
30,2966.599579999922
31,-4879.003918000031
32,8515.445336000063
33,2826.5175840000156
34,-1596.53125
35,-3422.5547110000625
36,-3250.5273319999687
37,5185.0547110000625
38,-9713.486334000016
39,-611.9180040000938
40,-6258.986286999891
41,-9410.832043000031
42,-1080.5410450000782
43,9430.109375
44,-4522.373040999984
45,6966.832043000031
46,331.29491599998437
47,6529.6953360000625
48,3065.831995999906
49,-1255.78125
50,-6660.4140389999375
51,10191.472668000031
52,-21628.904290999984
53,681.9589549999218
54,6622.318377000047
55,-1510.609375
56,4317.941418000031
57,9927.28125
58,15497.790997999953
59,-3726.5859610000625
60,-1230.4191503729671
61,0.0
