,0
0,1164283.8988510286
1,1161794.5455400946
2,1160639.1987119697
3,1160639.1987119697
4,1160639.1987119697
5,1160639.1987119697
6,1160639.1987119697
7,1160639.1987119697
8,1160639.1987119697
9,1160639.1987119697
10,1160639.1987119697
11,1160639.1987119697
12,1160639.1987119697
13,1160639.1987119697
14,1160639.1987119697
15,1160639.1987119697
16,1185033.1367864816
17,1171202.4805304816
18,1141344.9805304816
19,1142596.3555544815
20,1148996.1992984815
21,1138510.6367864816
22,1148650.6367864816
23,1170511.2618104815
24,1165263.4180184817
25,1143317.2930424816
26,1118510.4805304816
27,1136624.1992984815
28,1139508.0430424816
29,1183281.6055544815
30,1164537.1367864816
31,1182251.1055544815
32,1177365.6055544815
33,1176935.5742744817
34,1202373.1367864816
35,1228924.8242744817
36,1221838.6367864816
37,1220997.1367864816
38,1225408.8242744817
39,1238255.1055544815
40,1263562.6367864816
41,1264135.2618104815
42,1303934.9492984815
43,1326084.9805304813
44,1311678.3242744817
45,1298127.4180184817
46,1208760.0430424816
47,1226949.455355701
48,1234221.5086369512
49,1259297.2835442738
50,1251187.901467622
51,1249307.302002474
52,1239376.4466010062
53,1246682.7925282447
54,1252924.776207491
55,1219122.3282369527
56,1233385.6556659185
57,1198636.5398278532
58,1226255.4793997107
59,1236588.1318021857
60,1232879.7373332533
61,1237277.2851989872
62,1259156.8126418453
