,0
0,981026.6848006927
1,975533.0101014158
2,981499.754235416
3,980835.7014944159
4,979351.1838964159
5,984044.2718334158
6,973424.189762416
7,974247.7601014158
8,971848.9925034158
9,973939.3870214159
10,971184.4222174159
11,975187.9925034158
12,977344.0159674159
13,975209.7307714159
14,974327.8812084158
15,978425.754235416
16,975576.486637416
17,977169.6956284158
18,975598.2249584158
19,975148.2425034158
20,974153.457360416
21,968571.4807714159
22,964466.1546194159
23,962930.707360416
24,960684.004235416
25,980363.9807714159
26,984240.4338964159
27,997858.7425034158
28,1009422.8870214159
29,1011531.189762416
30,1012645.7425034158
31,1015527.410485416
32,1012616.6546194159
33,1014507.6780834158
34,1012605.4749584158
35,1017309.7425034158
36,1020870.2659674159
37,1024013.7249584158
38,1027668.6546194159
39,1024793.9222174159
40,1026049.9807714159
41,1026154.9456284158
42,1029777.4749584158
43,1028637.457360416
44,1031065.9338964159
45,1032949.504235416
46,1048735.0159674159
47,1052190.160485416
48,1059718.2307714159
49,1061815.974958416
50,1067899.381208416
51,1061609.2542354157
52,1064773.9338964159
53,1064305.9397624158
54,1066407.4104854157
55,1071260.0159674156
56,1069529.131208416
57,1068305.8870214159
58,1069097.1604854157
59,1069692.271833416
60,1063790.224958416
61,1063053.5042354157
62,1060022.9807714159
