,0
0,1085037.4061794009
1,1124758.4647614008
2,1136795.146431401
3,1141103.632765401
4,1146875.269472401
5,1146594.646431401
6,1142547.505806401
7,1149867.755806401
8,1156521.5604704008
9,1164179.7147614008
10,1179983.4647614008
11,1165795.615181401
12,1173839.132765401
13,1172787.3241364008
14,1181433.396431401
15,1171611.4061794009
16,1174043.197224401
17,1194483.4237634009
18,1193769.519472401
19,1196787.8925134009
20,1205035.382765401
21,1213126.4510954008
22,1212129.1698454008
23,1201752.910097401
24,1198782.5468044009
25,1196281.1737634009
26,1213795.742140401
27,1219318.7010954008
28,1214436.3925134009
29,1235297.7831384009
30,1235677.087849401
31,1238643.6874294009
32,1233764.6835114008
33,1242280.128847401
34,1245106.646431401
35,1243510.115181401
36,1240087.5604704008
37,1236837.0331384009
38,1242022.087849401
39,1232308.601515401
40,1231696.6835114008
41,1225437.697224401
42,1216026.865181401
43,1214946.3241364008
44,1224376.4335114008
45,1219854.0604704008
46,1226820.8925134009
47,1227152.1874294009
48,1233681.882765401
49,1236747.7147614008
50,1235491.9335114008
51,1228831.519472401
52,1239022.992140401
53,1217394.087849401
54,1218076.0468044009
55,1224698.365181401
56,1223187.755806401
57,1227505.697224401
58,1237432.978474401
59,1252930.769472401
60,1249204.1835114008
61,1247973.7643610279
62,1247973.7643610279
