,0
0,1263540.1441066423
1,1252836.4324152675
2,1244356.2370792674
3,1246223.4773312674
4,1243581.6550832675
5,1204485.6413702674
6,1178827.8640382674
7,1192324.3913702674
8,1188120.7370792674
9,1213870.5867062674
10,1209558.7957082675
11,1194178.9636652675
12,1197228.8230402675
13,1191263.1277042674
14,1185342.0457082675
15,1184158.0485129314
16,1184158.0485129314
17,1169060.4836282246
18,1157527.1242532246
19,1177817.9972942246
20,1176648.8891848496
21,1187682.6657636138
22,1182626.7985876137
23,1191406.7790736137
24,1199379.0642356137
25,1224462.4509256138
26,1224964.7673376137
27,1215676.4509256138
28,1187978.8806476137
29,1183347.1657636138
30,1173871.6149996137
31,1183475.0134256138
32,1189176.7673376137
33,1170970.8298376137
34,1169820.0276227756
35,1168625.4374294009
36,1160224.646431401
37,1176876.3241364008
38,1181975.365181401
39,1211007.228474401
40,1209710.505806401
41,1219092.697224401
42,1232627.228474401
43,1195057.337849401
44,1191325.519472401
45,1165065.646431401
46,1166678.242140401
47,1164186.3241364008
48,1171566.7010954008
49,1174861.9335114008
50,1151508.992140401
51,1127655.115181401
52,1131540.1425134009
53,1114997.0604704008
54,1093186.2147614008
55,1073717.382765401
56,1043018.3964314008
57,1094072.146431401
58,1106309.587849401
59,1102717.851515401
60,1115175.697224401
61,1116058.3241364008
62,1085037.4061794009
