,0
0,1207035.124350606
1,1219088.9368146062
2,1229684.374350606
3,1229066.655582606
4,1234001.0930706062
5,1233200.9368146062
6,1243069.718094606
7,1254035.749326606
8,1253539.905582606
9,1269033.874350606
10,1267780.3231318379
11,1269119.155713582
12,1275977.343201582
13,1275795.468225582
14,1277778.280737582
15,1284530.436993582
16,1295278.686993582
17,1286771.6244815818
18,1269367.311969582
19,1272847.311969582
20,1271592.141219582
21,1271592.141219582
22,1271592.141219582
23,1299811.1778315823
24,1298801.341887582
25,1245091.130995582
26,1262273.9825515822
27,1283613.1778315823
28,1285650.521607582
29,1298808.654387582
30,1314766.3575515822
31,1315754.966887582
32,1302514.1622195821
33,1293831.6856635823
34,1302396.146607582
35,1320466.654387582
36,1341229.1778315823
37,1325668.6856635823
38,1305865.521607582
39,1284014.146607582
40,1280326.3106635823
41,1297834.6700515822
42,1298321.3575515822
43,1294017.8497195821
44,1298898.130995582
45,1321805.654387582
46,1313634.8497195821
47,1304712.6856635823
48,1291769.3575515822
49,1297777.4903315823
50,1301565.6700515822
51,1284114.4903315823
52,1290165.1778315823
53,1287827.3106635823
54,1250157.4747195821
55,1228073.521607582
56,1262882.341887582
57,1244948.130995582
58,1244464.9981635823
59,1257708.8497195821
60,1233845.013775582
61,1254081.8497195821
62,1266090.8028315823
