,0
0,-2440.542461700039
1,-1132.6929687499069
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,23885.73103129305
16,-13542.517584000016
17,-29235.46875
18,1225.3047110000625
19,6266.513665999984
20,-10267.113293000031
21,9928.75
22,21405.195336000063
23,-5138.513713000109
24,-21488.914038999937
25,-18729.17465443816
26,17729.61933185137
27,-35.01821042760275
28,42102.571972991806
29,-11833.328248600243
30,16974.30072299461
31,-4801.672301828861
32,-422.6526018003933
33,25001.09289528383
34,26096.101192906965
35,-6964.599362746347
36,-827.0611487030983
37,4335.989686921705
38,12625.858766488265
39,24873.29275291413
40,562.7996555268764
41,39116.78580136597
42,21769.97061740607
43,-14159.460097513627
44,-1286.6087935380638
45,-90662.89450723189
46,-1206.1521562559064
47,2664.251185715664
48,23659.427451379364
49,-7867.965942692477
50,-1824.61405860167
51,-9635.21404491691
52,7088.836162567139
53,6056.15995632438
54,-32796.14980499772
55,13838.708471226972
56,-33714.6353900074
57,26796.724321365356
58,-1182.0484572392888
59,-4771.259695513872
60,4249.878911999986
61,21144.816411999986
