,0
0,6538.367144000134
1,-10097.210894000134
2,2030.0
3,-1191.9453559998656
4,9560.710951999878
5,10847.699226000113
6,1052.7226779998746
7,-1680.1875
8,6188.554644000018
9,2867.4882740001194
10,2474.8554759998806
11,-6597.5
12,1231.367201999994
13,-1537.5664279998746
14,758.6445819998626
15,2971.367144000018
16,-12225.878870000015
17,-3312.910177999991
18,6816.132798000006
19,-8134.499999999884
20,-5779.722620000131
21,548.167975999997
22,4635.355418000021
23,-2013.8007739998866
24,12901.488274000003
25,-12599.367144000134
26,544.089822000009
27,-10740.421846000012
28,10172.65625
29,-10482.36720200011
30,-194.9570239998866
31,-5290.6875
32,3801.2655959998956
33,-464.5663699998986
34,12361.023394000134
35,8436.621129999752
36,-1346.8007739998866
37,2606.0351199998986
38,-4989.246072000009
39,143.30077400023583
40,2835.65625
41,-1827.0
42,6569.632797999773
43,1041.0547020002268
44,3872.7460719998926
45,-1151.9570240001194
46,-6951.277321999893
47,-7705.843750000116
48,-3344.2890479998896
49,-2009.7226779998746
50,5389.921845999896
51,-3360.4882739998866
52,7523.121129999869
53,1441.9570239998866
54,-2836.222677999991
55,13353.933630000101
56,-35398.57815399999
57,-15109.566427999991
58,15629.867201999878
59,16527.6211300001
60,13648.011668000137
61,1123.9766059997492
