,0
0,1247973.7643610279
1,1242785.16677903
2,1241547.1388610732
3,1240627.3252634073
4,1239964.1846384073
5,1252618.9346384073
6,1251377.5565017003
7,1251377.5565017003
8,1251377.5565017003
9,1251377.5565017003
10,1251377.5565017003
11,1251377.5565017003
12,1251377.5565017003
13,1251377.5565017003
14,1251377.5565017003
15,1251377.5565017003
16,1251377.5565017003
17,1251377.5565017003
18,1251377.5565017003
19,1251377.5565017003
20,1251377.5565017003
21,1251377.5565017003
22,1250238.7634211886
23,1243568.1696771886
24,1249040.6384451885
25,1219406.4509091887
26,1229345.3571651888
27,1234911.8571651888
28,1245215.5447011886
29,1240478.9196771886
30,1236442.1384451885
31,1235209.5032264206
32,1229259.3956717548
33,1215810.8780877548
34,1220286.1593377548
35,1209103.9230037548
36,1198700.0323787548
37,1200743.1554197548
38,1184065.591007755
39,1184288.3820057549
40,1208371.200382755
41,1218118.559757755
42,1226629.7823787548
43,1239003.9093377548
44,1242704.700382755
45,1242038.714048755
46,1239985.7687127548
47,1244776.9230037548
48,1243970.3956717548
49,1245047.6320057549
50,1261639.091007755
51,1263446.7550467548
52,1275157.7413807549
53,1273557.9054197548
54,1273953.091007755
55,1265525.1280877548
56,1264989.309757755
57,1264508.0187127548
58,1267956.919132755
59,1273477.950382755
60,1276732.700382755
61,1285160.7550467548
62,1283098.3546737554
