,0
0,-2177.761679000221
1,784.3378840000369
2,-363.0293299998157
3,101.75586599996313
4,-356.09375
5,-3150.3945180000737
6,-7346.296875
7,9734.505865999963
8,-6022.953125
9,-6295.8203389998525
10,9233.697311999975
11,-1640.412116000196
12,11454.93552700011
13,12308.11134799989
14,-1114.5527409999631
15,330.7324020001106
16,-2163.4765360001475
17,-1433.587883999804
18,1930.7734109999146
19,424.5175979998894
20,-340.77346399985254
21,2939.84375
22,283.01173199992627
23,-1934.5
24,-1731.5058659999631
25,-1255.5410090000369
26,-1208.9589909999631
27,4522.494134000037
28,-116.04100900003687
29,-19759.476535999915
30,2972.7616789999884
31,7516.4765889998525
32,4769.482402000111
33,2283.244134000037
34,3949.0175979998894
35,3738.052740999963
36,-1117.3963086069562
37,0.0
38,0.0
39,6069.594270277303
40,3291.796875
41,-1179.25
42,-2533.855482000159
43,1985.3261520001106
44,468.51173199992627
45,4740.394518000074
46,-1923.9413930000737
47,4918.441393000074
48,2442.7617319999263
49,-776.9882680000737
50,1292.0820180000737
51,7669.6796610001475
52,-3179.118258975446
53,-1392.948442839086
54,-184.91389199555852
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
