,0
0,-18985.20886016637
1,1925.5959778623655
2,22031.138478795765
3,-11226.202218267601
4,15081.302805370651
5,-6313.472135040443
6,10935.860791736515
7,10971.476208355278
8,-1980.7226726077497
9,-4272.654591613682
10,-10373.537375224987
11,-731.9735069274902
12,-21808.115294483025
13,3066.5436275270768
14,12251.426656524418
15,-572.7572493951302
16,-7604.2576403087005
17,-3292.57658416708
18,-8941.393454498611
19,265.56111837760545
20,17072.158405542374
21,4870.091830267105
22,-1249.180944500491
23,-1.7619856246747077
24,0.0
25,0.0
26,1000.8065834818408
27,-574.0619877029676
28,0.0
29,0.0
30,-1203.8348789189477
31,15208.160169000272
32,-9122.824256999884
33,2672.419940999942
34,-3827.589831000194
35,-2992.166022000136
36,-19973.671875
37,1949.5888135572895
38,-13772.759432011982
39,11111.70943532628
40,9040.39526341809
41,-694.3952554732095
42,-1256.1827173696365
43,0.0
44,0.0
45,-957.2286855529528
46,-77.42382200015709
47,-5857.03125
48,-1268.544927999843
49,-4156.673822000157
50,-5047.478533999994
51,-14075.728484999854
52,-2078.097692999989
53,-9608.976538000163
54,5840.378894000081
55,-16076.402355999919
56,1485.1211059999187
57,-8110.457019000081
58,4824.585913000163
59,2712.609375
60,1752.7070679999888
61,-6485.609375
