,0
0,-10703.71169137489
1,-8480.195336000063
2,1867.240252000047
3,-2641.822247999953
4,-39096.01371300011
5,-25657.77733199997
6,13496.527331999969
7,-4203.654290999984
8,25749.849627000047
9,-4311.790997999953
10,-15379.832043000031
11,3049.859375
12,-5965.6953360000625
13,-5921.081995999906
14,-1183.9971953360364
15,0.0
16,-15097.564884706866
17,-11533.359375
18,20290.873040999984
19,-1169.1081093749963
20,11033.776578764198
21,-5055.867176000029
22,8779.980485999957
23,7972.285161999986
24,25083.386690000072
25,502.3164119999856
26,-9288.316411999986
27,-27697.570278000087
28,-4631.714883999899
29,-9475.550764000043
30,9603.398426000029
31,5701.753911999986
32,-18205.9375
33,-1150.8022148380987
34,-1194.590193374781
35,-8400.790997999953
36,16651.677704999922
37,5099.041045000078
38,29031.86329300003
39,-1296.7226680000313
40,9382.191418000031
41,13534.53125
42,-37569.890625
43,-3731.818377000047
44,-26259.873040999984
45,1612.5957090000156
46,-2491.918004000094
47,7380.376959000016
48,3295.2324159999844
49,-23352.941370999906
50,-23853.876959000016
51,3885.0273319999687
52,-16543.08204300003
53,-21810.845709000016
54,-19468.831995999906
55,-30698.986334000132
56,51053.75000000012
57,12237.441418000031
58,-3591.7363340000156
59,12457.845709000016
60,882.6269119998906
61,-31020.91795699997
