,0
0,1329740.1755756906
1,1327384.9217096905
2,1334809.7888856905
3,1344553.0740476912
4,1338429.0544876906
5,1342259.9919876906
6,1343760.4724736908
7,1347925.8083996903
8,1360227.1248116905
9,1362548.2380756906
10,1355553.4529596905
11,1355104.0544876906
12,1353899.7888856905
13,1346063.2576356905
14,1325182.4919876906
15,1333786.7380756906
16,1334320.3201356905
17,1340069.8708996903
18,1312313.0037236908
19,1318926.9412236908
20,1337686.6755756906
21,1359914.7380756906
22,1364005.0544876906
23,1351251.1052976912
24,1359269.3904596905
25,1357922.6567252926
26,1357922.6567252926
27,1357922.6567252926
28,1357922.6567252926
29,1357922.6567252926
30,1361906.6088344553
31,1356016.362746455
32,1345548.128348455
33,1298094.097098455
34,1257639.792422455
35,1251946.393996455
36,1197162.729922455
37,1180727.792422455
38,1240249.995570455
39,1204098.128348455
40,1258076.792422455
41,1213476.108834455
42,1201677.108834455
43,1109044.159598455
44,1107947.012700029
45,1107947.012700029
46,1107947.012700029
47,1107947.012700029
48,1107947.012700029
49,1107947.012700029
50,1107947.012700029
51,1107947.012700029
52,1107947.012700029
53,1107947.012700029
54,1107947.012700029
55,1107947.012700029
56,1177128.779391417
57,1129528.466891417
58,1165444.9278354167
59,1164283.8988510286
60,1164283.8988510286
61,1164283.8988510286
62,1164283.8988510286
