,0
0,1065284.7358248178
1,1062134.002579884
2,1062888.7428078838
3,1062539.412697884
4,1062637.3287198842
5,1062294.6724698842
6,1059263.160763884
7,1052194.082638884
8,1061561.248660884
9,1055765.5767858839
10,1049707.334572884
11,1058592.590476884
12,1057014.080704884
13,1068036.754513884
14,1079880.408829884
15,1078807.9146828838
16,1079126.1666168838
17,1077044.330704884
18,1075664.840476884
19,1077522.754513884
20,1077931.252579884
21,1077603.3384918838
22,1080432.2447418838
23,1080704.576785884
24,1078843.076785884
25,1077176.910763884
26,1075968.748660884
27,1074805.410763884
28,1079157.2447418838
29,1079045.582638884
30,1060031.746726884
31,1062892.3287198842
32,1070125.1646828838
33,1074714.6666168838
34,1076911.7505948842
35,1080711.748660884
36,1084308.7428078838
37,1084172.576785884
38,1081581.3384918838
39,1080519.502579884
40,1087431.496726884
41,1090599.074851884
42,1089464.324851884
43,1087026.0865578838
44,1088936.4947418838
45,1089387.326785884
46,1093948.8384918838
47,1092097.498660884
48,1096830.3384918838
49,1099180.920535884
50,1098433.252579884
51,1099676.576785884
52,1107056.834572884
53,1103902.504513884
54,1100989.826785884
55,1100340.074851884
56,1100211.080704884
57,1100965.4224698842
58,1095922.0005948842
59,1103263.410763884
60,1094716.826785884
61,1097909.506447884
62,1104521.0787198842
